delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,1000,exp,40,4,3,space,0.3625864,None,200,1,[2.867468799930066],[2.8674742998555303],3,4,40,7,240.8581652,,240.8424892,240.8581652,241.8575092,241.8575092,241.8575092,242.2238364,space,0.3625864,None,242.2242377,242.6233566,242.9380748,242.9160421,242.9162995,242.9380748,242.9380748,242.9380748,245.8057518,200,1,[2.867468799930066],[2.8674742998555303],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,41,5,3,space,0.333339,None,600,1,[2.734326699981466],[2.734333199914545],3,5,41,11,245.8219864,,245.8059147,245.8219864,246.806159,246.806159,246.8211589,247.1549298,space,0.333339,None,247.155314,247.8546056,248.1691281,248.1485702,248.1490091,248.1691281,248.1691281,248.1691281,250.9037147,600,1,[2.734326699981466],[2.734333199914545],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,42,6,3,space,0.7615996,None,100,1,[1.9847957000602037],[1.9848017001058906],3,6,42,4,250.9193987,,250.9038847,250.9193987,251.9028702,251.9028702,251.9199882,252.669819,space,0.7615996,None,252.6702582,253.0859464,253.4001972,253.3853752,253.3858036,253.4001972,253.4001972,253.4001972,255.3852193,100,1,[1.9847957000602037],[1.9848017001058906],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,400,unexp,43,7,3,space,1.4755349,None,350,1,[1.2526405001990497],[1.252646700013429],3,7,43,2,255.4012692,,255.3854028,255.4012692,256.3842326,256.3842326,256.4011962,257.8677593,space,1.4755349,None,257.8684747,258.5833985,258.8977566,258.877844,258.8785293,258.8977566,258.8977566,258.8977566,260.1506171,350,1,[1.2526405001990497],[1.252646700013429],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,44,8,3,space,0.5630946,None,200,1,[3.184132299851626],[3.1841394999064505],3,8,44,8,260.1656783,,260.1507879,260.1656783,261.1652772,261.1652772,261.1652772,261.7327371,space,0.5630946,None,261.7334536,262.4323462,262.7460729,262.7282592,262.7287982,262.7460729,262.7460729,262.7460729,265.9304607,200,1,[3.184132299851626],[3.1841394999064505],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,45,9,3,space,1.9178734,None,350,1,[4.018139699939638],[4.018145199865103],3,9,45,3,265.9461804,,265.9306613,265.9461804,266.9458202,266.9458202,266.9458202,268.8789062,space,1.9178734,None,268.8793529,268.9784495,269.2930797,269.2774613,269.2777549,269.2930797,269.2930797,269.2930797,273.3114279,350,1,[4.018139699939638],[4.018145199865103],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,46,10,3,space,0.3887571,None,600,1,[3.83292070007883],[3.8329261001199484],3,10,46,5,273.3267435,,273.3115891,273.3267435,274.3270677,274.3270677,274.3270677,274.7269707,space,0.3887571,None,274.727876,275.4423688,275.7580764,275.7373832,275.7377387,275.7580764,275.7580764,275.7580764,279.5912112,600,1,[3.83292070007883],[3.8329261001199484],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,47,11,3,space,0.2991639,None,300,1,[2.234884399920702],[2.2348898998461664],3,11,47,6,279.6071206,,279.5913834,279.6071206,280.5922574,280.5922574,280.6088865,280.9074669,space,0.2991639,None,280.9078611,281.0232163,281.3378306,281.3163232,281.3165823,281.3378306,281.3378306,281.3378306,283.5729224,300,1,[2.234884399920702],[2.2348898998461664],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,48,0,4,space,0.530558,None,170,1,[3.450884400168434],[3.450890500098467],4,0,48,7,283.5887135,,283.5730939,283.5887135,284.5889413,284.5889413,284.5889413,285.1216216,space,0.530558,None,285.1220676,285.5211114,285.8360666,285.8186847,285.8190118,285.8360666,285.8360666,285.8360666,289.2871674,170,1,[3.450884400168434],[3.450890500098467],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,49,1,4,space,0.3334195,None,320,1,[3.217892099870369],[3.2178986000362784],4,1,49,3,289.3024735,,289.2873402,289.3024735,290.3021276,290.3021276,290.3021276,290.652945,space,0.3334195,None,290.6537145,290.7523206,291.0836569,291.0491703,291.0498628,291.0836569,291.0836569,291.0836569,294.301795,320,1,[3.217892099870369],[3.2178986000362784],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
